countryiso3,date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,seller_email,seller_id
PHL,2026-02-15,Region X,Misamis Oriental,Misamis Oriental,4312,8.48,124.65,vegetables and fruits,Garlic,105,KG,actual,Retail,PHP,148.57,2.56,test.seller1@example.com,6e473348-47b3-4e19-b8bb-4f1740a06950
PHL,2026-03-15,Region IV-A,Batangas,Batangas,4537,13.76,121.06,cereals and tubers,Rice (regular milled),80,KG,actual,Retail,PHP,46.79,0.78,test.seller1@example.com,6e473348-47b3-4e19-b8bb-4f1740a06950
PHL,2026-01-15,Region XII,Sarangani,Sarangani,4319,6.1,125.29,vegetables and fruits,Calamansi,847,KG,actual,Retail,PHP,61.25,1.03,test.seller1@example.com,6e473348-47b3-4e19-b8bb-4f1740a06950
PHL,2026-01-15,Region IV-B,Occidental Mindoro,Occidental Mindoro,4283,13.23,120.59,vegetables and fruits,Ginger,712,KG,actual,Retail,PHP,135.63,2.28,test.seller1@example.com,6e473348-47b3-4e19-b8bb-4f1740a06950
PHL,2026-01-15,Region IV-B,Palawan,Palawan,4358,9.78,118.74,vegetables and fruits,Squashes,340,KG,actual,Retail,PHP,72.5,1.22,test.seller1@example.com,6e473348-47b3-4e19-b8bb-4f1740a06950
PHL,2026-03-15,Region VI,Aklan,Aklan,4291,11.71,122.37,cereals and tubers,Potatoes (Irish),148,KG,actual,Retail,PHP,156.5,2.62,test.seller1@example.com,6e473348-47b3-4e19-b8bb-4f1740a06950
PHL,2026-01-15,Region IV-B,Marinduque,Marinduque,4282,13.45,121.84,vegetables and fruits,Mangoes (carabao),848,KG,actual,Retail,PHP,225.0,3.78,test.seller1@example.com,6e473348-47b3-4e19-b8bb-4f1740a06950
PHL,2026-01-15,Cordillera Administrative region,Mountain Province,Mountain Province,4266,17.09,120.98,meat fish and eggs,Meat (beef chops with bones),123,KG,actual,Retail,PHP,366.67,6.16,test.seller1@example.com,6e473348-47b3-4e19-b8bb-4f1740a06950
PHL,2026-03-15,Region IV-A,Quezon,Quezon,4281,13.93,121.61,vegetables and fruits,Bananas (latundan),846,KG,actual,Retail,PHP,72.5,1.21,test.seller2@example.com,be36d547-6c8d-4b6b-a427-729083129fc5
MMR,2026-03-15,Sagaing,Hkamti,Homalin Myoma,10799,24.86,94.92,vegetables and fruits,Tomatoes (local),346,KG,actual,Retail,MMK,612.0,0.29,test.seller2@example.com,be36d547-6c8d-4b6b-a427-729083129fc5
